Datetime,Close,High,Low,Open,Volume,Ticker
,AAPL,AAPL,AAPL,AAPL,AAPL,
2000-01-03,0.8400940299034119,0.8443153788359313,0.7631673906857632,0.7870898376129777,535796800,AAPL
2000-01-04,0.7692657709121704,0.8302435674160231,0.7594152208884124,0.8124194187017932,512377600,AAPL
2000-01-05,0.7805225849151611,0.8297745344167374,0.7730180360241728,0.7786464351670466,778321600,AAPL
2000-01-06,0.7129775881767273,0.8030381060173246,0.7129775881767273,0.7964716055515493,767972800,AAPL
2000-01-07,0.74675053358078,0.7580082351564399,0.7167306807658664,0.7242352306324134,460734400,AAPL
2000-01-10,0.7336168885231018,0.7673890485223157,0.7111015807744289,0.7655128981303111,505064000,AAPL
2000-01-11,0.69609135389328,0.7458123509768227,0.6792053055481009,0.720013802656639,441548800,AAPL
2000-01-12,0.6543448567390442,0.7167306077542647,0.6491846055869582,0.7129774564274761,976068800,AAPL
2000-01-13,0.7261113524436951,0.7411213043550292,0.6942153486738593,0.7091076122132474,1032684800,AAPL
2000-01-14,0.7537859678268433,0.7673887671270332,0.7458123691607932,0.750502718370148,390376000,AAPL
2000-01-18,0.7800535559654236,0.7955333564810531,0.7537859574272584,0.7580081083519568,459177600,AAPL
2000-01-19,0.7997548580169678,0.8161719108509258,0.7758324029480635,0.7927185058455951,597643200,AAPL
2000-01-20,0.8518208265304565,0.9118605202568624,0.8518208265304565,0.8668307249113247,1831132800,AAPL
2000-01-21,0.8354036808013916,0.8574491765812097,0.8269602314181055,0.8574491765812097,495924800,AAPL
2000-01-24,0.7974095344543457,0.8461915821803883,0.7889660339288318,0.8138265336158961,440876800,AAPL
2000-01-25,0.8424392938613892,0.84900669483073,0.7683276955040399,0.7880279945561796,497145600,AAPL
2000-01-26,0.8269605040550232,0.8569804092115234,0.8236773039508636,0.825553403981389,367158400,AAPL
2000-01-27,0.8255534768104553,0.8480688335266833,0.8030381701957122,0.8166409737988664,340144000,AAPL
2000-01-28,0.7626984715461731,0.8321197730869576,0.7551939223038231,0.81195047345519,423348800,AAPL
2000-01-31,0.7786466479301453,0.779584748111271,0.7092253807719503,0.7580083437424138,701680000,AAPL
2000-02-01,0.7523788809776306,0.7880280330071696,0.7505027812179574,0.7805226319390159,318035200,AAPL
2000-02-02,0.7415904998779297,0.7664510084693321,0.7279876453090993,0.7561322563296645,464195200,AAPL
2000-02-03,0.7753633260726929,0.7823996775460846,0.7523789233094257,0.7528479733264711,475193600,AAPL
2000-02-04,0.8105432391166687,0.825553136734455,0.7777082927170194,0.7800534921482118,425320000,AAPL
2000-02-07,0.8560421466827393,0.8574492965908831,0.7950643480249296,0.8105433477248081,441067200,AAPL
2000-02-08,0.8621405959129333,0.8715211955573505,0.8349348929662456,0.8555731941729023,408643200,AAPL
